Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PC2","Bidirectional","05 CDC_PCAP02AE","5","SCHEMATIC1","R43.2,TP15.1,U7.29","866","619","2A","[5,6]"
"PC2","Bidirectional","05 CDC_PCAP02AE","5","SCHEMATIC1","R43.2,TP15.1,U7.29","867","65","2D","[5,6]"
"PC2","Bidirectional","05 CDC_PCAP02AE","5","SCHEMATIC1","R43.2,TP15.1,U7.29","77","642","5A","[5,6]"
"OSC_CDC_IN","Input","05 CDC_PCAP02AE","5","SCHEMATIC1","C80.2,R34.1,U7.11","396","143","4D","[5]"
"OSC_CDC_IN","Input","05 CDC_PCAP02AE","5","SCHEMATIC1","C80.2,R34.1,U7.11","782","436","2B","[5]"
"OSC_IN","Input","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C49.2,R28.1,U6.12","446","517","4C","[4]"
"OSC_IN","Input","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C49.2,R28.1,U6.12","767","441","3C","[4]"
"PCAUX","Bidirectional","05 CDC_PCAP02AE","5","SCHEMATIC1","R46.2,TP17.1,U7.26","966","91","1D","[5]"
"PCAUX","Bidirectional","05 CDC_PCAP02AE","5","SCHEMATIC1","R46.2,TP17.1,U7.26","80","698","5A","[5]"
"RESET","Bidirectional","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C44.2,D13.2,R24.2,S1.2,U6.14","480","204","4D","[4,7]"
"RESET","Bidirectional","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C44.2,D13.2,R24.2,S1.2,U6.14","766","461","3C","[4,7]"
"RESET","Bidirectional","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C44.2,D13.2,R24.2,S1.2,U6.14","200","300","5C","[4,7]"
"OSC32_IN","Input","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C56.2,R32.1,U6.8","777","401","3C","[4]"
"OSC32_IN","Input","04 MCU_STM32F405VGT6","4","SCHEMATIC1","C56.2,R32.1,U6.8","441","782","4B","[4]"
"INCR[1:8]","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","","1534","489","1C","[8]"
"INCR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","2109","844","1B","[4,8]"
"INCR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","1977","237","1D","[4,8]"
"INC[1:8]","OffPage","04 MCU_STM32F405VGT6","4","SCHEMATIC1","","631","223","4D","[6]"
"INC[1:8]","OffPage","06 Scan","6","SCHEMATIC1","","1994","253","1D","[4,6]"
"INC[1:8]","OffPage","06 Scan","6","SCHEMATIC1","","2126","860","1B","[4,6]"
"SACR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","2109","884","1B","[8]"
"SACR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","2144","1180","1B","[8]"
"DCR[1:8]","OffPage","08 RMea","8","SCHEMATIC1","","2109","924","1B","[8]"
